,Game,url,ProductID,System,xCloud,Status,Removed,Release,Metacritic,Genre_x,Series_X_S,ESRB_x,ESRB_Content_Descriptors,Community_Notes,asset_count,developer,has_gamepass_remediation,is_xpa,prices,publisher,release_date,rating_30_days.AggregateTimeSpan,rating_30_days_avg,rating_30_days.PlayCount,rating_30_days.PurchaseCount,rating_30_days_count,rating_30_days.RentalCount,rating_30_days.TrialCount,rating_7_days.AggregateTimeSpan,rating_7_days_avg,rating_7_days.PlayCount,rating_7_days.PurchaseCount,rating_7_days_count,rating_7_days.RentalCount,rating_7_days.TrialCount,rating_alltime.AggregateTimeSpan,rating_alltime_avg,rating_alltime.PlayCount,rating_alltime.PurchaseCount,rating_alltime_count,rating_alltime.RentalCount,rating_alltime.TrialCount,current_price,days_since_release,days_since_gp_add,momentum,discovery_capture,quality_retention,rating_trend_7d_vs_alltime,is_day_one_gp,Genre,genre_median_momentum,lift_vs_genre_momentum,conditioned_median_momentum,lift_vs_rating_momentum,zscore_momentum,genre_median_discovery_capture,lift_vs_genre_discovery_capture,conditioned_median_discovery_capture,lift_vs_rating_discovery_capture,zscore_discovery_capture,genre_median_quality_retention,lift_vs_genre_quality_retention,conditioned_median_quality_retention,lift_vs_rating_quality_retention,zscore_quality_retention,party_type
0,Routine,https://www.xbox.com/en-us/games/store/routine/9PCJT6TLCGGV,9PCJT6TLCGGV,Xbox,Yes,Active,,Dec 2025,,,No relation,T,"Vio, Blo, ParNud",,26,lunar software,True,,,raw fury,2025-12-04T15:00:00.0000000Z,30Days,4.2,0.0,0,1339,0,0,7Days,4.2,0.0,0,155,0,0,AllTime,4.0,0.0,0,2102,0,0,24.99,54,54,11.58,7.37,0.2,0.2,True,Action & adventure,5.79,5.79,11.58,,,0.055,7.315,1.33,,,-0.35,0.55,-0.2,,,3rd Party
1,Lara Croft and the Temple of Osiris,https://www.xbox.com/en-us/games/store/Lara-Croft-and-the-Temple-of-Osiris/C3553MB4P5TT,C3553MB4P5TT,Xbox / PC,Yes,Active,,Dec 2014,74,Action-Adventure,No relation,T,"MilBlo, MilLan, Vio",,15,crystal dynamics,True,,,crystal dynamics,2014-12-09T00:00:00.0000000Z,30Days,3.8,0.0,0,16,0,0,7Days,3.8,0.0,0,4,0,0,AllTime,3.8,0.0,0,2907,0,0,19.99,4072,84,25.0,0.14,0.0,0.0,False,Action-Adventure,18.575,6.425000000000001,0.0,,,0.055,0.08500000000000002,0.0,,,0.0,0.0,0.0,,,3rd Party
2,Whiskerwood,https://www.xbox.com/en-us/games/store/whiskerwood-game-preview/9NM2T0DMP4XV,9NM2T0DMP4XV,PC,None,Active,,Nov 2025,,Strategy,No relation,E10,FanVio,,17,minakata dynamics,True,,,hooded horse,2025-11-06T14:00:00.0000000Z,30Days,4.1,0.0,0,17,0,0,7Days,5.0,0.0,0,1,0,0,AllTime,3.5,0.0,0,195,0,0,29.99,84,84,5.88,0.51,0.6,1.5,True,Strategy,0.0,5.88,2.94,,,0.0,0.51,0.005,,,-0.5,1.1,0.2,,,3rd Party
3,Super Fantasy Kingdom (Game Preview),https://www.xbox.com/en-us/games/store/super-fantasy-kingdom-game-preview/9MZ8B96NDG1T,9MZ8B96NDG1T,PC,None,Active,,Oct 2025,,Defense,No relation,E10,"FanVio, MilBlo, UseAlc",,17,super fantasy games,True,,,hooded horse,2025-10-24T13:00:00.0000000Z,30Days,4.0,0.0,0,8,0,0,7Days,1.0,0.0,0,1,0,0,AllTime,3.7,0.0,0,217,0,0,19.99,115,115,12.5,0.46,0.3,-2.7,True,Defense,12.5,0.0,12.5,,,0.46,0.0,0.46,,,0.3,0.0,0.3,,,3rd Party
4,Evil West,https://www.xbox.com/en-us/games/store/Evil-West/9MW581HCJPM6,9MW581HCJPM6,Xbox / PC,Yes,Active,,Nov 2022,73,Shooter,No relation,M,"Blood and Gore, Intense Violence, Strong Language",,19,flying wild hog,True,,,focus entertainment,2022-11-22T05:00:00.0000000Z,30Days,3.9,0.0,0,78,0,0,7Days,4.0,0.0,0,18,0,0,AllTime,3.9,0.0,0,5942,0,0,59.99,1180,115,23.08,0.3,0.0,0.1,False,Shooter,20.375,2.7049999999999983,20.0,,,0.06,0.24,0.06,,,0.15000000000000002,-0.15000000000000002,0.2,,,3rd Party
5,Moonsweeper,https://www.xbox.com/en-us/games/store/Microsoft-Minesweeper/9WZDNCRFHWCN,9WZDNCRFHWCN,Xbox / PC,Yes,Active,,Jan 1983,,,No relation,E,MilFanVio,,20,xbox game studios,False,,,xbox game studios,2012-07-27T22:26:23.4565523Z,30Days,3.6,0.0,0,130,0,0,7Days,3.0,0.0,0,32,0,0,AllTime,4.3,0.0,0,110216,0,0,0.0,15729,115,24.62,0.03,-0.7,-1.3,False,Puzzle & trivia,24.62,0.0,24.62,,,0.03,0.0,0.03,,,-0.7,0.0,-0.7,,,2nd Party
6,Pax Dei,https://www.xbox.com/en-us/games/store/pax-dei/9PHGK0538TXM,9PHGK0538TXM,PC,None,Active,,Oct 2025,,RPG,No relation,M,"Vio, Blo",,23,mainframe industries,True,,,mainframe industries,2025-10-16T15:00:00.0000000Z,30Days,2.6,0.0,0,27,0,0,7Days,2.7,0.0,0,3,0,0,AllTime,2.0,0.0,0,482,0,0,29.99,115,115,11.11,0.62,0.6,0.7,True,RPG,11.11,0.0,27.725,,,0.02,0.6,0.135,,,-0.2,0.8,-0.05,,,3rd Party
7,Baldur's Gate and Baldur's Gate II: Enhanced Editions,https://www.xbox.com/en-us/games/store/Baldurs-Gate-and-Baldurs-Gate-II-Enhanced-Editions/9NCNBWZSHZR5,9NCNBWZSHZR5,PC,None,Active,,Oct 2019,72,RPG,No relation,T,"BloGor, UseTob, SugThe, AlcRef, MilLan, ParNud, Vio",,27,beamdog,True,,,beamdog,2019-10-15T04:00:00.0000000Z,30Days,3.3,0.0,0,9,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,3.9,0.0,0,775,0,0,49.99,2307,115,0.0,0.0,-0.6,-3.9,False,RPG,11.11,-11.11,0.0,,,0.02,-0.02,0.0,,,-0.2,-0.39999999999999997,-0.25,,,3rd Party
8,Sopa: Tale of the Stolen Potato,https://www.xbox.com/en-us/games/store/sopa-tale-of-the-stolen-potato/9N221ZTFGQB0,9N221ZTFGQB0,Xbox / PC,Yes,Active,,Oct 2025,79,Action-Adventure,No relation,E,,,23,"studiobando, inc.",True,,,"studiobando, inc.",2025-10-07T00:00:00.0000000Z,30Days,3.5,0.0,0,29,0,0,7Days,3.0,0.0,0,6,0,0,AllTime,3.5,0.0,0,451,0,0,19.99,115,115,20.69,1.33,0.0,-0.5,True,Action-Adventure,18.575,2.115000000000002,27.33,,,0.055,1.2750000000000001,0.35,,,0.0,0.0,0.3,,,3rd Party
9,Hogwarts Legacy,https://www.xbox.com/en-us/games/store/hogwarts-legacy/9MT5NJ5W7B8Z,9MT5NJ5W7B8Z,Xbox / PC,Yes,Active,,Feb 2023,84,Action-Adventure,No relation,T,"UseAlc, FanVio, Blo, MilLan",,11,avalanche software,True,,,warner bros. games,2023-02-10T05:00:00.0000000Z,30Days,4.2,0.0,0,339,0,0,7Days,4.6,0.0,0,77,0,0,AllTime,4.5,0.0,0,17460,0,0,69.99,1088,115,22.71,0.44,-0.3,0.1,False,Action-Adventure,18.575,4.135000000000002,0.0,,,0.055,0.385,0.0,,,0.0,-0.3,0.0,,,3rd Party
